path,sha256,compatibles,module_parameters,api_categories,register_constants
"linux-6.18.38/Documentation/devicetree/bindings/phy/zte,zx279133-pon-serdes.yaml",3490a378749278aa9b3941748387d637707d2dd62fc432e204440d6eaf82d7e4,"[""0"", ""apb"", ""fixed-clock"", ""pclk"", ""pll"", ""serdes"", ""syscon"", ""topcrm-mode"", ""zte,zx279133-pon-serdes"", ""zte,zx296718-reset""]",[],"{""clock"": [""clock"", ""clocks""], ""reset"": [""ZX279133_LOCAL_RESET_PON_SERDES"", ""ZX279133_LOCAL_RESET_PON_SERDES_APB"", ""local_reset""]}","[""0x60"", ""0xc0"", ""0xc4"", ""0x10000"", ""0x10e10000"", ""0x10e10070"", ""0x10e100c0"", ""0x16000000"", ""0x16010000""]"
"linux-6.18.38/Documentation/devicetree/bindings/phy/zte,zx279133-uni-serdes.yaml",78a19ed661eeb2b3a1f863e663f0ee67ba8ad1333b44311101a9b81c439a81ff,"[""0"", ""pclk"", ""ref50m"", ""rx"", ""tx"", ""zte,zx279133-uni-serdes""]",[],"{""clock"": [""ZX279133_TOPCRM_CLK_UNI_SERDES_50M"", ""ZX279133_TOPCRM_CLK_UNI_SERDES_PCLK"", ""clock"", ""clocks""], ""reset"": [""ZX279133_LOCAL_RESET_UNI_SERDES_RX"", ""ZX279133_LOCAL_RESET_UNI_SERDES_TX"", ""local_reset""]}","[""0x100000"", ""0x16100000""]"
"linux-6.18.38/Documentation/devicetree/bindings/pinctrl/zte,zx279133-pinctrl.yaml",93498da9c0e37cd08ff9f886b87f9b19dd6db40a5384021c85994f16fae4abaa,"[""pwm"", ""spifc"", ""zte,zx279133-pinctrl""]",[],{},"[""0x1000"", ""0x10e20000""]"
"linux-6.18.38/Documentation/devicetree/bindings/pwm/zte,zx279133-pwm.yaml",73008bd28a2a9b654e5e41d1dd4ad6dd0babdc6370fabda4b76548d57f4f8395,"[""3"", ""pclk"", ""wclk"", ""zte,zx279133-pwm""]",[],"{""clock"": [""ZX279133_LSP1_CLK_PWM_PCLK"", ""ZX279133_LSP1_CLK_PWM_WCLK"", ""clock"", ""clocks""]}","[""0x1000"", ""0x14f10000""]"
"linux-6.18.38/Documentation/devicetree/bindings/soc/zte/zte,zx279133-idm-cci.yaml",268fe1c69fe646f86198927fcbb5c63d2bbf32c52b149cd12fdc30610f68158c,"[""syscon"", ""zte,zx279133-idm-cci""]",[],{},"[""0x10e00078""]"
"linux-6.18.38/Documentation/devicetree/bindings/soc/zte/zte,zx279133-pon-route.yaml",21a74c9dbc6264d547df50b1ffa0c128bb3b3af82d103242fffe1d95dd8d151b,"[""syscon"", ""zte,zx279133-pon-route""]",[],{},"[""0x17000080""]"
"linux-6.18.38/Documentation/devicetree/bindings/soc/zte,zx279133-pwm-audit.yaml",0c6f46b2303a281d2b197069f285595f55adc1adcc50ae630ea117fc2860f606,"[""pclk"", ""wclk"", ""zte,zx279133-pwm-audit""]",[],"{""clock"": [""clock"", ""clocks""]}","[""0x1000"", ""0x14f10000""]"
"linux-6.18.38/Documentation/devicetree/bindings/soc/zte,zx279133-xpcs-nppt-audit.yaml",af2e0391d61ed76cadb18fa86e264c06c5e3b0ba9b407b4d691c7d3a568267cd,"[""nppt"", ""nppt-wclk"", ""xpcs-pclk"", ""xpcs0"", ""xpcs1"", ""zte,zx279133-xpcs-nppt-audit""]",[],"{""clock"": [""clock"", ""clocks""]}","[""0x00001000"", ""0x00200000"", ""0x19000000"", ""0x1a000000"", ""0x1b000000""]"
"linux-6.18.38/Documentation/devicetree/bindings/spi/zte,zx279133-sfc.yaml",a82d812751b8d03c33f177384d66ebee42b3e0fff4f0e75afa4facc7b92fc564,"[""pclk"", ""spi-nand"", ""wclk"", ""zte,zx279133-sfc""]",[],"{""clock"": [""clock"", ""clocking"", ""clocks""]}","[""0x2c"", ""0x1000"", ""0x10d0f000"", ""0x20000000""]"
"linux-6.18.38/Documentation/devicetree/bindings/usb/zte,zx279133-xhci.yaml",8c44ff71e3e0ce6dbf9c36c8f81fb4bd35b4d7af3b2462a870b864b24c6209c0,"[""cci"", ""core"", ""reg"", ""zte,zx279133-xhci""]",[],"{""clock"": [""clock"", ""clocks""]}","[""0x4000"", ""0x15010000""]"
